Grapheme	IPA	Note
^grama$	ɡ ɾ ɐ m ɐ
^governante$	ɡ u v ɨ ɾ n ɐ̃ t ɨ
^raízes_venenosas$	ʁ ɐ i z ɨ ʃ + v ɨ n ɨ n ɔ z ɐ ʃ
^esfolar$	ʃ f u l a ɾ
^papeira$	p ɐ p ɐi ɾ ɐ
^levar_na_cabeça$	l ɨ v a ɾ + n a + k ɐ b ɛ s ɐ
^render-se$	ʁ ẽ d ɛ ɾ s ɨ
^espinhaço$	ʃ p i ɲ a s u
^reto$	ʁ ɛ t u
^quieto$	k i ɛ t u
^tenda$	t ẽ d ɐ
^completar$	k õ p l ɨ t a ɾ
^doença$	d u ẽ s ɐ
^dar_um_pontapé$	d a ɾ + ũ + p õ t ɐ p ɛ
^guiar$	ɡ j a ɾ
^testa$	t ɛ ʃ t ɐ
^vermelho$	v ɨ ɾ m ɐ ʎ u
^orgulhoso$	o ɾ ɡ u ʎ ɔ z u
^escada$	ʃ k a d ɐ
^nascente$	n ɐ ʃ s ẽ t ɨ
^sôbre$	s o b ɾ ɨ
^bruxa$	b ɾ u ʃ ɐ
^vestir$	v ɨ ʃ t i ɾ
^nó$	n ɔ
^inverno$	ĩ v ɛ ɾ n u
^verme$	v ɛ ɾ m ɨ
^três$	t ɾ e ʃ
^baço$	b a s u
^lado$	l a d u
^oferenda$	o f ɨ ɾ ẽ d ɐ
^vender$	v ẽ d e ɾ
^fonte$	f õ t ɨ
^chávena$	ʃ a v ɨ n ɐ
^professor$	p ɾ u f ɨ s ɔ ɾ
^caçar$	k ɐ s a ɾ
^juntar$	ʒ ũ t a ɾ
^lança$	l ɐ̃ s ɐ
^saber$	s ɐ b e ɾ
^palma_de_mão$	p a ɫ m ɐ + d ɨ + m ɐ̃ũ
^bracelete$	b ɾ ɐ s ɨ l ɛ t ɨ
^ousar$	o z a ɾ
^chato$	ʃ a t u
^casamento$	k ɐ z ɐ m ẽ t u
^perto$	p ɛ ɾ t u
^jamais$	ʒ ɐ m ai ʃ
^neta$	n ɛ t ɐ
^cerume$	s ɨ ɾ u m ɨ
^cheiroso$	ʃ ɐi ɾ ɔ z u
^raiva$	ʁ ai v ɐ
^engano$	ẽ ɡ ɐ n u
^dor$	d o ɾ
^tinta$	t ĩ t ɐ
^ferreiro$	f ɨ ʁ ɐi ɾ u
^atrás$	ɐ t ɾ a ʃ
^bambu$	b ɐ̃ b u
^rastejar$	ʁ ɐ ʃ t ɨ ʒ a ɾ
^golfinho$	ɡ ɔ ɫ f i ɲ u
^véu$	v ɛu
^pesar$	p ɨ z a ɾ
^loja$	l ɔ ʒ ɐ
^pôr$	p o ɾ
^aluno$	ɐ l u n u
^estrela$	ʃ t ɾ ɛ l ɐ
^prisão$	p ɾ i z ɐ̃ũ
^ser_humano$	s e ɾ + u m ɐ n u
^débil$	d ɛ b i ɫ
^jóia$	ʒ ɔi ɐ
^par$	p a ɾ
^gema$	ʒ ɛ m ɐ
^linho$	l i ɲ u
^recife$	ʁ ɨ s i f ɨ
^destruir$	d ɨ ʃ t ɾ ui ɾ
^réu$	ʁ ɛu
^vir$	v i ɾ
^vaca$	v a k ɐ
^terça-feira$	t ɨ ɾ s ɐ f ɐi ɾ ɐ
^sabão$	s ɐ b ɐ̃ũ
^luz$	l u ʃ
^cílio$	s i l j u
^bolha$	b ɔ ʎ ɐ
^miçanga$	m i s ɐ̃ ɡ ɐ
^azul$	ɐ z u ɫ
^sarar$	s ɐ ɾ a ɾ
^cultivar$	k u ɫ t i v a ɾ
^nomear$	n u m i a ɾ
^beliscar$	b ɨ l i ʃ k a ɾ
^anteontem$	ɐ̃ t i õ t ɐ̃ĩ
^cântaro$	k ɐ̃ t ɐ ɾ u
^rir$	ʁ i ɾ
^terremoto$	t ɨ ʁ ɨ m ɔ t u
^túmulo$	t u m u l u
^demorar$	d ɨ m u ɾ a ɾ
^cocheira$	k u ʃ ɐi ɾ ɐ
^punição$	p u n i s ɐ̃ũ
^cama$	k ɐ m ɐ
^multa$	m u ɫ t ɐ
^rápido$	ʁ a p i d u
^fronte$	f ɾ õ t ɨ
^carvão$	k ɐ ɾ v ɐ̃ũ
^quebrado$	k w ɨ b ɾ a d u
^maré_baixa$	m ɐ ɾ ɛ + b ai ʃ ɐ
^ladrão$	l ɐ d ɾ ɐ̃ũ
^cavalo$	k ɐ v a l u
^calvo$	k a ɫ v u
^baleia$	b ɐ l ɐi ɐ
^caneta$	k ɐ n ɛ t ɐ
^errado$	i ʁ a d u
^obter$	o b t e ɾ
^agitar$	ɐ ʒ i t a ɾ
^vinte$	v ĩ t ɨ
^obedecer$	o b ɨ d ɨ s e ɾ
^contas$	k õ t ɐ ʃ
^pais$	p ai ʃ
^demônio$	d ɨ m o n j u
^ceifar$	s ɐi f a ɾ
^bote$	b ɔ t ɨ
^povo$	p ɔ v u
^pó$	p ɔ
^cessar$	s ɨ s a ɾ
^bicho$	b i ʃ u
^abrir$	ɐ b ɾ i ɾ
^unir$	u n i ɾ
^salgado$	s a ɫ ɡ a d u
^cada$	k a d ɐ
^ligeiro$	l i ʒ ɐi ɾ u
^companheiro$	k õ p ɐ ɲ ɐi ɾ u
^almofariz$	a ɫ m u f ɐ ɾ i ʃ
^dever$	d ɨ v e ɾ
^apunhalar$	ɐ p u ɲ ɐ l a ɾ
^pulga$	p u ɫ ɡ ɐ
