Grapheme	IPA	Note
^Dios$	d j o s
^a$	a
^a_menudo$	a + m e n u ð o
^a_veces$	a + β e s e s
^abajo$	a β a x o
^abalorio$	a β a l o ɾ j o
^abanicar$	a β a n i k a ɾ
^abanico$	a β a n i k o
^abedul$	a β e ð u l
^abeja$	a β e x a
^abeto$	a β ɛ t o
^abrazar$	a β ɾ a s a ɾ
^abrigo$	a β ɾ i ɣ o
^abrir$	a β ɾ i ɾ
^absolver$	a β s o l β ɛ ɾ
^abuela$	a β w e l a
^abuelo$	a β w e l o
^acabar$	a k a β a ɾ
^acantilado$	a k a n t i l a ð o
^acechar$	a s e tʃ a ɾ
^aceite$	a s e i t e
^aceituna$	a s e i t u n a
^acercarse$	a s ɛ ɾ k a ɾ s e
^acertar$	a s ɛ ɾ t a ɾ
^acordarse$	a k o ɾ ð a ɾ s e
^acostarse$	a k o s t a ɾ s e
^acusado$	a k u s a ð o
^acusar$	a k u s a ɾ
^adentro$	a ð e n t ɾ o
^adhesivo$	a ð e s i β o
^adivinar$	a ð i β i n a ɾ
^admitir$	a ð m i t i ɾ
^adobe$	a ð o β e
^adorar$	a ð o ɾ a ɾ
^adorno$	a ð o ɾ n o
^adulterio$	a ð u l t ɛ ɾ j o
^afilado$	a f i l a ð o
^afirmativo$	a f i ɾ m a t i β o
^afuera$	a f w ɛ ɾ a
^agacharse$	a ɣ a tʃ a ɾ s e
^agalla$	a ɣ a ʝ a
^agarrar$	a ɣ a r a ɾ
^agitado$	a x i t a ð o
^agricultor$	a ɣ ɾ i k u l t o ɾ
^agrio$	a ɣ ɾ j o
^agua$	a ɣ w a
^aguamiel$	a ɣ w a m j ɛ l
^aguja$	a ɣ u x a
^agujero$	a ɣ u x ɛ ɾ o
^aguzado$	a ɣ u s a ð o
^agüero$	a ɣ w ɛ ɾ o
^ahogado$	a o ɣ a ð o
^ahora$	a o ɾ a
^ahuecar$	a w e k a ɾ
^aire$	a i ɾ e
^ají$	a x i
^al_lado_de$	a l + l a ð o + ð e
^ala$	a l a
^alabar$	a l a β a ɾ
^alacrán$	a l a k ɾ a n
^alargar$	a l a ɾ ɣ a ɾ
^albaɲil$	a l β a ɲ i l
^alcanzar$	a l k a n s a ɾ
^alegre$	a l e ɣ ɾ e
^aleta$	a l ɛ t a
^alfarero$	a l f a ɾ ɛ ɾ o
^alfiler$	a l f i l ɛ ɾ
^alfombra$	a l f o m b ɾ a
^algo$	a l ɣ o
^algodón$	a l ɣ o ð o n
^alguno$	a l ɣ u n o
^aliento$	a l j e n t o
^alimento$	a l i m e n t o
^alma$	a l m a
^almacén$	a l m a s e n
^almohada$	a l m o a ð a
^almuerzo$	a l m w ɛ ɾ s o
^alquilar$	a l k i l a ɾ
^alta$	a l t a
^altar$	a l t a ɾ
^alto$	a l t o
^alumno$	a l u m n o
^amanecer$	a m a n e s ɛ ɾ
^amar$	a m a ɾ
^amargo$	a m a ɾ ɣ o
^amarillo$	a m a ɾ i ʝ o
^amarrar$	a m a r a ɾ
^amasar$	a m a s a ɾ
^amenazar$	a m e n a s a ɾ
^amigo$	a m i ɣ o
^amo$	a m o
^amontonar$	a m o n t o n a ɾ
^amplio$	a m p l j o
^ampolla$	a m p o ʝ a
^ancho$	a n tʃ o
^anciana$	a n s j a n a
^anciano$	a n s j a n o
^ancla$	a n k l a
^andar$	a n d a ɾ
^angosto$	a n g o s t o
^anguila_de_agua_dulce$	a n g i l a + ð e + a ɣ w a + ð u l s e
^angustia$	a n g u s t j a
^anhelar$	a n e l a ɾ
^anillo$	a n i ʝ o
^animal$	a n i m a l
^ansiedad$	a n s j e ð a ð
^anteayer$	a n t e a ʝ ɛ ɾ
^antepasados$	a n t e p a s a ð o s
^antes_de$	a n t e s + ð e
^antorcha$	a n t o ɾ tʃ a
^anunciar$	a n u n s j a ɾ
^anzuelo$	a n s w e l o
^apagar$	a p a ɣ a ɾ
^apartar$	a p a ɾ t a ɾ
^aplastar$	a p l a s t a ɾ
^apoyar$	a p o ʝ a ɾ
^aprender$	a p ɾ e n d ɛ ɾ
^apretar$	a p ɾ ɛ t a ɾ
^aproximarse$	a p ɾ o k s i m a ɾ s e
^apurarse$	a p u ɾ a ɾ s e
^apuɲalar$	a p u ɲ a l a ɾ
^arar$	a ɾ a ɾ
^araɲa$	a ɾ a ɲ a
^arcilla$	a ɾ s i ʝ a
^arco$	a ɾ k o
^arco_iris$	a ɾ k o + i ɾ i s
^arder$	a ɾ ð ɛ ɾ
^arena$	a ɾ e n a
^arete$	a ɾ ɛ t e
^argamasa$	a ɾ ɣ a m a s a
^armadura$	a ɾ m a ð u ɾ a
^armas$	a ɾ m a s
^aro$	a ɾ o
^arrecife$	a r e s i f e
^arriba$	a r i β a
^arrodillarse$	a r o ð i ʝ a ɾ s e
^arrollar$	a r o ʝ a ɾ
^arroyo$	a r o ʝ o
^arroz$	a r o s
^arrugado$	a r u ɣ a ð o
^arteria$	a ɾ t ɛ ɾ j a
^artesa$	a ɾ t e s a
^asar$	a s a ɾ
^ascender$	a s e n d ɛ ɾ
^asesinar$	a s e s i n a ɾ
^asir$	a s i ɾ
^asno$	a s n o
^atacar$	a t a k a ɾ
^atar$	a t a ɾ
^atarraya$	a t a r a ʝ a
^atrapar$	a t ɾ a p a ɾ
^atreverse$	a t ɾ e β ɛ ɾ s e
^atrás$	a t ɾ a s
^aullar$	a u ʝ a ɾ
^avaro$	a β a ɾ o
^ave$	a β e
^avena$	a β e n a
^aventar$	a β e n t a ɾ
^avisar$	a β i s a ɾ
^avispa$	a β i s p a
^axila$	a k s i l a
^ayer$	a ʝ ɛ ɾ
^ayudar$	a ʝ u ð a ɾ
^ayunar$	a ʝ u n a ɾ
