Grapheme	IPA	Note
^Dios$	d j o s
^azada$	a s a ð a
^azadón$	a s a ð o n
^azuela$	a s w e l a
^azul$	a s u l
^azúcar$	a s u k a ɾ
^aɲo$	a ɲ o
^babear$	b a β e a ɾ
^bahía$	b a i a
^bailar$	b a i l a ɾ
^bajamar$	b a x a m a ɾ
^bajar$	b a x a ɾ
^bajo$	b a x o
^balbucear$	b a l β u s e a ɾ
^ballena$	b a ʝ e n a
^balsa$	b a l s a
^bambú$	b a m b u
^banano$	b a n a n o
^baniano$	b a n j a n o
^barato$	b a ɾ a t o
^barba$	b a ɾ β a
^barbasco$	b a ɾ β a s k o
^barbilla$	b a ɾ β i ʝ a
^barbotar$	b a ɾ β o t a ɾ
^barco$	b a ɾ k o
^barranca$	b a r a n k a
^barrer$	b a r ɛ ɾ
^barriga$	b a r i ɣ a
^barro$	b a r o
^bastante$	b a s t a n t e
^bastón$	b a s t o n
^batalla$	b a t a ʝ a
^batanga$	b a t a n g a
^batata$	b a t a t a
^batea$	b a t e a
^bazo$	b a s o
^baɲar$	b a ɲ a ɾ
^beber$	b e β ɛ ɾ
^bebida$	b e β i ð a
^bebida_fermentada$	b e β i ð a + f ɛ ɾ m e n t a ð a
^bebé$	b e β e
^becerro$	b e s ɛ r o
^bejuco$	b e x u k o
^bellota$	b e ʝ o t a
^bendecir$	b e n d e s i ɾ
^besar$	b e s a ɾ
^bien_oliente$	b j ɛ n + o l j e n t e
^blanco$	b l a n k o
^boca$	b o k a
^bocio$	b o s j o
^boda$	b o ð a
^bolsa_de_malla$	b o l s a + ð e + m a ʝ a
^bolsillo$	b o l s i ʝ o
^bombo$	b o m b o
^bonito$	b o n i t o
^borde$	b o ɾ ð e
^bordón$	b o ɾ ð o n
^borrascoso$	b o r a s k o s o
^borrego$	b o r e ɣ o
^bosque$	b o s k e
^bostezar$	b o s t e s a ɾ
^bota$	b o t a
^bote$	b o t e
^botín$	b o t i n
^botón$	b o t o n
^brasas$	b ɾ a s a s
^braza$	b ɾ a s a
^brazalete$	b ɾ a s a l ɛ t e
^brazo$	b ɾ a s o
^brillante$	b ɾ i ʝ a n t e
^brillar$	b ɾ i ʝ a ɾ
^brincar$	b ɾ i n k a ɾ
^bronce$	b ɾ o n s e
^bruja$	b ɾ u x a
^brujería$	b ɾ u x ɛ ɾ i a
^brujo$	b ɾ u x o
^buena_suerte$	b w e n a + s w ɛ ɾ t e
^bueno$	b w e n o
^buey$	b w e i
^buho$	b u o
^buitre$	b w i t ɾ e
^buque$	b u k e
^burro$	b u r o
^buscar$	b u s k a ɾ
^caballo$	k a β a ʝ o
^caballo_padre$	k a β a ʝ o + p a ð ɾ e
^cabaɲa$	k a β a ɲ a
^cabello$	k a β e ʝ o
^cabeza$	k a β e s a
^cabra$	k a β ɾ a
^cabrito$	k a β ɾ i t o
^cacerola$	k a s ɛ ɾ o l a
^cacique$	k a s i k e
^cada$	k a ð a
^cadena$	k a ð e n a
^cadera$	k a ð ɛ ɾ a
^cadáver$	k a ð a β ɛ ɾ
^caer$	k a ɛ ɾ
^caimán$	k a i m a n
^calabaza$	k a l a β a s a
^calabazo$	k a l a β a s o
^calavera$	k a l a β ɛ ɾ a
^calcetín$	k a l s ɛ t i n
^calcul$	k a l k u l
^caldera$	k a l d ɛ ɾ a
^caliente$	k a l j e n t e
^callarse$	k a ʝ a ɾ s e
^calma$	k a l m a
^calvo$	k a l β o
^calzones$	k a l s o n e s
^cama$	k a m a
^cambiar$	k a m b j a ɾ
^camello$	k a m e ʝ o
^caminar$	k a m i n a ɾ
^camino$	k a m i n o
^camisa$	k a m i s a
^camote$	k a m o t e
^campo$	k a m p o
^canal$	k a n a l
^canasta$	k a n a s t a
^canasto$	k a n a s t o
^cancha$	k a n tʃ a
^candado$	k a n d a ð o
^canoa$	k a n o a
^cansado$	k a n s a ð o
^cantar$	k a n t a ɾ
^capa$	k a p a
^capaz$	k a p a s
^cara$	k a ɾ a
^caracol$	k a ɾ a k o l
^carbón$	k a ɾ β o n
^cardenal$	k a ɾ ð e n a l
^cargar$	k a ɾ ɣ a ɾ
^carnada$	k a ɾ n a ð a
^carne$	k a ɾ n e
^carnero$	k a ɾ n ɛ ɾ o
^caro$	k a ɾ o
^carpintero$	k a ɾ p i n t ɛ ɾ o
^carretera$	k a r ɛ t ɛ ɾ a
^carretón$	k a r ɛ t o n
^carro$	k a r o
^casa$	k a s a
^casa_de_hombres$	k a s a + ð e + o m b ɾ e s
^casa_de_huerta$	k a s a + ð e + w ɛ ɾ t a
^casa_de_reunión$	k a s a + ð e + r e u n j o n
^casamiento$	k a s a m j e n t o
^casarse$	k a s a ɾ s e
^cascabel$	k a s k a β ɛ l
^cascada$	k a s k a ð a
^caspa$	k a s p a
^castigo$	k a s t i ɣ o
^castillo$	k a s t i ʝ o
^catarro$	k a t a r o
^causar$	k a u s a ɾ
^cautivo$	k a u t i β o
^cavar$	k a β a ɾ
^cazar$	k a s a ɾ
^cazuela$	k a s w e l a
^caɲa_de_azúcar$	k a ɲ a + ð e + a s u k a ɾ
^caɲón$	k a ɲ o n
^cebada$	s e β a ð a
^cebo$	s e β o
^ceja$	s e x a
^celos$	s e l o s
^cena$	s e n a
^cenizas$	s e n i s a s
^censura$	s e n s u ɾ a
^centeno$	s e n t e n o
^centinela$	s e n t i n e l a
^centro$	s e n t ɾ o
^cepa$	s e p a
^cepillo$	s e p i ʝ o
^cera_de_abeja$	s ɛ ɾ a + ð e + a β e x a
^cerca$	s ɛ ɾ k a
^cerco$	s ɛ ɾ k o
^cerda$	s ɛ ɾ ð a
^cerdo$	s ɛ ɾ ð o
^cerebro$	s ɛ ɾ e β ɾ o
^cerilla$	s ɛ ɾ i ʝ a
^cerner$	s ɛ ɾ n ɛ ɾ
^cero$	s ɛ ɾ o
^cerradura$	s ɛ r a ð u ɾ a
^cerrar$	s ɛ r a ɾ
^cerro$	s ɛ r o
^cerrojo$	s ɛ r o x o
^cerumen$	s ɛ ɾ u m e n
^cerveza$	s ɛ ɾ β e s a
^cesar$	s e s a ɾ
^cesto$	s ɛ s t o
^chacra$	tʃ a k ɾ a
^chancho$	tʃ a n tʃ o
^chaquira$	tʃ a k i ɾ a
^chico$	tʃ i k o
^chiflar$	tʃ i f l a ɾ
^chillar$	tʃ i ʝ a ɾ
^chimenea$	tʃ i m e n e a
^chivo$	tʃ i β o
^choza$	tʃ o s a
^chupar$	tʃ u p a ɾ
^cicatriz$	s i k a t ɾ i s
^ciego$	s j e ɣ o
^cielo$	s j e l o
^ciempiés$	s j e m p j e s
^cien$	s j e n
^ciento$	s j e n t o
^cierto$	s j ɛ ɾ t o
^ciervo$	s j ɛ ɾ β o
^cima$	s i m a
^cincel$	s i n s ɛ l
^cinco$	s i n k o
^cinta$	s i n t a
^cintura$	s i n t u ɾ a
^cinturón$	s i n t u ɾ o n
^ciudad$	s j u ð a ð
^ciudadano$	s j u ð a ð a n o
^clan$	k l a n
^claro$	k l a ɾ o
^clavo$	k l a β o
^clavícula$	k l a β i k u l a
^cobija$	k o β i x a
^cobre$	k o β ɾ e
^cochina$	k o tʃ i n a
^cocido$	k o s i ð o
^cocina$	k o s i n a
^cocinado$	k o s i n a ð o
^cocinar$	k o s i n a ɾ
^coco$	k o k o
^cocodrilo$	k o k o ð ɾ i l o
^codicioso$	k o ð i s j o s o
^codo$	k o ð o
^coger$	k o x ɛ ɾ
^cola$	k o l a
^colar$	k o l a ɾ
^colegio$	k o l e x j o
^colgar$	k o l ɣ a ɾ
^collar$	k o ʝ a ɾ
^colmena$	k o l m e n a
^color$	k o l o ɾ
^comenzar$	k o m e n s a ɾ
^comer$	k o m ɛ ɾ
^comerciante$	k o m ɛ ɾ s j a n t e
^comezón$	k o m e s o n
^comida$	k o m i ð a
^compasión$	k o m p a s j o n
^compaɲero$	k o m p a ɲ ɛ ɾ o
^comprar$	k o m p ɾ a ɾ
^comprender$	k o m p ɾ e n d ɛ ɾ
^concebir$	k o n s e β i ɾ
^concepto$	k o n s e p t o
^condenar$	k o n d e n a ɾ
^conducir$	k o n d u s i ɾ
^conejo$	k o n e x o
^confesar$	k o m f e s a ɾ
^conocer$	k o n o s ɛ ɾ
^conseguir$	k o n s e ɣ i ɾ
^conservar$	k o n s ɛ ɾ β a ɾ
^conspiración$	k o n s p i ɾ a s j o n
^construir$	k o n s t ɾ w i ɾ
^contar$	k o n t a ɾ
^contemplar$	k o n t e m p l a ɾ
^contento$	k o n t e n t o
^contestar$	k o n t ɛ s t a ɾ
^continente$	k o n t i n e n t e
^contusión$	k o n t u s j o n
^copa$	k o p a
^corazón$	k o ɾ a s o n
^cordero$	k o ɾ ð ɛ ɾ o
^corneta$	k o ɾ n ɛ t a
^correcto$	k o r e k t o
^correr$	k o r ɛ ɾ
^corriente$	k o r j e n t e
^cortar$	k o ɾ t a ɾ
^corteza$	k o ɾ t e s a
^corto$	k o ɾ t o
^cosa$	k o s a
^cosecha$	k o s e tʃ a
^cosechar$	k o s e tʃ a ɾ
^coser$	k o s ɛ ɾ
^costa$	k o s t a
^costado$	k o s t a ð o
^costilla$	k o s t i ʝ a
^costumbre$	k o s t u m b ɾ e
^coto$	k o t o
^crecer$	k ɾ e s ɛ ɾ
^creer$	k ɾ e ɛ ɾ
^criado$	k ɾ j a ð o
^cribar$	k ɾ i β a ɾ
^crudo$	k ɾ u ð o
^cruz$	k ɾ u s
^cráneo$	k ɾ a n e o
^cuadrado$	k w a ð ɾ a ð o
^cuarto$	k w a ɾ t o
^cuatro$	k w a t ɾ o
^cubrir$	k u β ɾ i ɾ
^cucaracha$	k u k a ɾ a tʃ a
^cuchara$	k u tʃ a ɾ a
^cuchichear$	k u tʃ i tʃ e a ɾ
^cuchillo$	k u tʃ i ʝ o
^cuello$	k w e ʝ o
^cuenta$	k w e n t a
^cuerda$	k w ɛ ɾ ð a
^cuerda_de_pescar$	k w ɛ ɾ ð a + ð e + p ɛ s k a ɾ
^cuerno$	k w ɛ ɾ n o
^cuero$	k w ɛ ɾ o
^cuerpo$	k w ɛ ɾ p o
^cuervo$	k w ɛ ɾ β o
^cueva$	k w e β a
^culebra$	k u l e β ɾ a
^culpa$	k u l p a
^culpable$	k u l p a β l e
^cultivar$	k u l t i β a ɾ
^culto$	k u l t o
^cumbrera$	k u m b ɾ ɛ ɾ a
^cura$	k u ɾ a
^curar$	k u ɾ a ɾ
^cutis$	k u t i s
^cuál$	k w a l
^cuándo$	k w a n d o
^cuánto$	k w a n t o
^cuántos$	k w a n t o s
^cálido$	k a l i ð o
^cántaro$	k a n t a ɾ o
^cárcel$	k a ɾ s ɛ l
^círculo$	s i ɾ k u l o
^cítrico$	s i t ɾ i k o
^cómo$	k o m o
^dar$	d a ɾ
^dar_vuelta$	d a ɾ + β w ɛ l t a
^darse_prisa$	d a ɾ s e + p ɾ i s a
^daɲar$	d a ɲ a ɾ
^de_nuevo$	d e + n w e β o
^debajo$	d e β a x o
^deber$	d e β ɛ ɾ
^decir$	d e s i ɾ
^dedo$	d e ð o
^dedo_del_pie$	d e ð o + ð ɛ l + p j e
^defecar$	d e f e k a ɾ
^defender$	d e f e n d ɛ ɾ
^dejar$	d e x a ɾ
^dejar_caer$	d e x a ɾ + k a ɛ ɾ
^delante$	d e l a n t e
^delantero$	d e l a n t ɛ ɾ o
^delfín$	d ɛ l f i n
^delgado$	d ɛ l ɣ a ð o
^demandante$	d e m a n d a n t e
^demonio$	d e m o n j o
^demorar$	d e m o ɾ a ɾ
^dentro$	d e n t ɾ o
^denunciar$	d e n u n s j a ɾ
^derecha$	d ɛ ɾ e tʃ a
^derecho$	d ɛ ɾ e tʃ o
^derramar$	d ɛ r a m a ɾ
^derrota$	d ɛ r o t a
^desaparecer$	d e s a p a ɾ e s ɛ ɾ
^desatar$	d e s a t a ɾ
^desayuno$	d e s a ʝ u n o
^descansar$	d ɛ s k a n s a ɾ
^descender$	d e s e n d ɛ ɾ
^descendientes$	d e s e n d j e n t e s
^desear$	d e s e a ɾ
^desembarcar$	d e s e m b a ɾ k a ɾ
^desgranar$	d ɛ s ɣ ɾ a n a ɾ
^desnudo$	d ɛ s n u ð o
^desollar$	d e s o ʝ a ɾ
^despacio$	d ɛ s p a s j o
^desparramar$	d ɛ s p a r a m a ɾ
^despertarse$	d ɛ s p ɛ ɾ t a ɾ s e
^después$	d ɛ s p w e s
^destruir$	d ɛ s t ɾ w i ɾ
^detenerse$	d ɛ t e n ɛ ɾ s e
^detrás$	d ɛ t ɾ a s
^deuda$	d e u ð a
^devolver$	d e β o l β ɛ ɾ
^diente$	d j e n t e
^diez$	d j e s
^difícil$	d i f i s i l
^dinero$	d i n ɛ ɾ o
^disparar$	d i s p a ɾ a ɾ
^disputa$	d i s p u t a
^distribuir$	d i s t ɾ i β w i ɾ
^dividir$	d i β i ð i ɾ
^divorcio$	d i β o ɾ s j o
^doblar$	d o β l a ɾ
^doce$	d o s e
^doctor$	d o k t o ɾ
^dolor$	d o l o ɾ
^domingo$	d o m i n g o
^dormir$	d o ɾ m i ɾ
^dos$	d o s
^dos_veces$	d o s + β e s e s
^dudar$	d u ð a ɾ
^duende$	d w e n d e
^dueɲo$	d w e ɲ o
^dulce$	d u l s e
^durar$	d u ɾ a ɾ
^duro$	d u ɾ o
^débil$	d e β i l
^día$	d i a
^dónde$	d o n d e
^ebrio$	e β ɾ j o
^echar$	e tʃ a ɾ
^echarse$	e tʃ a ɾ s e
^edad$	e ð a ð
^edificar$	e ð i f i k a ɾ
^eje$	e x e
^ejército$	e x ɛ ɾ s i t o
^el_joven$	ɛ l + x o β e n
^elefante$	e l e f a n t e
^elegir$	e l e x i ɾ
^elevado$	e l e β a ð o
^ella$	e ʝ a
^ellas$	e ʝ a s
^ello$	e ʝ o
^ellos$	e ʝ o s
^embarazada$	e m b a ɾ a s a ð a
^emboscar$	e m b o s k a ɾ
^embotado$	e m b o t a ð o
^embriagado$	e m b ɾ j a ɣ a ð o
^empezar$	e m p e s a ɾ
^emplear$	e m p l e a ɾ
^empujar$	e m p u x a ɾ
^empuɲar$	e m p u ɲ a ɾ
^en_el_hombro$	ɛ n + ɛ l + o m b ɾ o
^en_seguida$	e n + s e ɣ i ð a
^encender$	e n s e n d ɛ ɾ
^encima$	e n s i m a
^encontrar$	e n k o n t ɾ a ɾ
^encorvar$	e n k o ɾ β a ɾ
^encías$	e n s i a s
^enemigo$	e n e m i ɣ o
^enfermedad$	e m f ɛ ɾ m e ð a ð
^enfermo$	e m f ɛ ɾ m o
^engaɲo$	e n g a ɲ o
^engendrar$	e n x e n d ɾ a ɾ
^enjugar$	e n x u ɣ a ɾ
^enojo$	e n o x o
^enredadera$	e n r e ð a ð ɛ ɾ a
^enrollar$	e n r o ʝ a ɾ
^enseɲar$	e n s e ɲ a ɾ
^entenada$	e n t e n a ð a
^entenado$	e n t e n a ð o
^entender$	e n t e n d ɛ ɾ
^enterrar$	e n t ɛ r a ɾ
^entrar$	e n t ɾ a ɾ
^enviar$	e m b j a ɾ
^envidia$	e m b i ð j a
^envolver$	e m b o l β ɛ ɾ
^equivocación$	e k i β o k a s j o n
^era$	ɛ ɾ a
^errar$	ɛ r a ɾ
^error$	ɛ r o ɾ
^escalera$	ɛ s k a l ɛ ɾ a
^escama$	ɛ s k a m a
^esclavo$	ɛ s k l a β o
^escoba$	ɛ s k o β a
^escoger$	ɛ s k o x ɛ ɾ
^esconder$	ɛ s k o n d ɛ ɾ
^escopeta$	ɛ s k o p ɛ t a
^escoplo$	ɛ s k o p l o
^escorpión$	ɛ s k o ɾ p j o n
^escribir$	ɛ s k ɾ i β i ɾ
^escuchar$	ɛ s k u tʃ a ɾ
^escudo$	ɛ s k u ð o
^escuela$	ɛ s k w e l a
^esculpir$	ɛ s k u l p i ɾ
^escultor$	ɛ s k u l t o ɾ
^escupir$	ɛ s k u p i ɾ
^escurrir$	ɛ s k u r i ɾ
^escápula$	ɛ s k a p u l a
^esfera$	ɛ s f ɛ ɾ a
^espada$	ɛ s p a ð a
^espalda$	ɛ s p a l d a
^esparcir$	ɛ s p a ɾ s i ɾ
^espejo$	ɛ s p e x o
^esperanza$	ɛ s p ɛ ɾ a n s a
^espina_dorsal$	ɛ s p i n a + ð o ɾ s a l
^espinazo$	ɛ s p i n a s o
^esposa$	ɛ s p o s a
^esposo$	ɛ s p o s o
^espuma$	ɛ s p u m a
^esquina$	ɛ s k i n a
^establo$	ɛ s t a β l o
^estación$	ɛ s t a s j o n
^estatua$	ɛ s t a t w a
^estaɲo$	ɛ s t a ɲ o
^este$	ɛ s t e
^estera$	ɛ s t ɛ ɾ a
^estirar$	ɛ s t i ɾ a ɾ
^estorbar$	ɛ s t o ɾ β a ɾ
^estornudar$	ɛ s t o ɾ n u ð a ɾ
^estrecho$	ɛ s t ɾ e tʃ o
^estrella$	ɛ s t ɾ e ʝ a
^estrujar$	ɛ s t ɾ u x a ɾ
^estudiar$	ɛ s t u ð j a ɾ
^estufa$	ɛ s t u f a
^estupefacto$	ɛ s t u p e f a k t o
^estómago$	ɛ s t o m a ɣ o
^estúpido$	ɛ s t u p i ð o
^evidente$	e β i ð e n t e
^exaltar$	ɛ k s a l t a ɾ
^excavar$	ɛ k s k a β a ɾ
^excremento$	ɛ k s k ɾ e m e n t o
^exculpar$	ɛ k s k u l p a ɾ
^explicar$	ɛ k s p l i k a ɾ
^exprimir$	ɛ k s p ɾ i m i ɾ
^extender$	ɛ k s t e n d ɛ ɾ
^exterior$	ɛ k s t ɛ ɾ j o ɾ
^extinguir$	ɛ k s t i n g i ɾ
^extranjero$	ɛ k s t ɾ a n x ɛ ɾ o
^extremo$	ɛ k s t ɾ e m o
^faja$	f a x a
^falda$	f a l d a
^falda_de_hierbas$	f a l d a + ð e + ʝ ɛ ɾ β a s
^fallar$	f a ʝ a ɾ
^falso$	f a l s o
^familia$	f a m i l j a
^fantasma$	f a n t a s m a
^feliz$	f e l i s
^femenino$	f e m e n i n o
^feo$	f e o
^fiebre$	f j e β ɾ e
^fiel$	f j ɛ l
^fieltro$	f j ɛ l t ɾ o
^filoso$	f i l o s o
^fin$	f i n
^final$	f i n a l
^finalizar$	f i n a l i s a ɾ
^flato$	f l a t o
^flauta$	f l a u t a
^flecha$	f l e tʃ a
^flojo$	f l o x o
^flor$	f l o ɾ
^flotar$	f l o t a ɾ
^fluir$	f l w i ɾ
^fogón$	f o ɣ o n
^fondo$	f o n d o
^forastero$	f o ɾ a s t ɛ ɾ o
^formar$	f o ɾ m a ɾ
^fortaleza$	f o ɾ t a l e s a
^forúnculo$	f o ɾ u n k u l o
^fragante$	f ɾ a ɣ a n t e
^fragua$	f ɾ a ɣ w a
^frazada$	f ɾ a s a ð a
^frecuentemente$	f ɾ e k w e n t e m e n t e
^frente$	f ɾ e n t e
^freír$	f ɾ e i ɾ
^frijol$	f ɾ i x o l
^frontera$	f ɾ o n t ɛ ɾ a
^frotar$	f ɾ o t a ɾ
^fruta$	f ɾ u t a
^frío$	f ɾ i o
^fuego$	f w e ɣ o
^fuente$	f w e n t e
^fuera$	f w ɛ ɾ a
^fuerte$	f w ɛ ɾ t e
^fumar$	f u m a ɾ
^fundir$	f u n d i ɾ
^furúnculo$	f u ɾ u n k u l o
^fácil$	f a s i l
^fósforo$	f o s f o ɾ o
^gallina$	g a ʝ i n a
^gallo$	g a ʝ o
^ganado$	g a n a ð o
^ganar$	g a n a ɾ
^gancho$	g a n tʃ o
^ganso$	g a n s o
^garganta$	g a ɾ ɣ a n t a
^garra$	g a r a
^garrote$	g a r o t e
^garza$	g a ɾ s a
^gatear$	g a t e a ɾ
^gato$	g a t o
^gavilán$	g a β i l a n
^gaviota$	g a β j o t a
^gemelos$	x e m e l o s
^gemir$	x e m i ɾ
^gente$	x e n t e
^globo$	g l o β o
^gobernante$	g o β ɛ ɾ n a n t e
^gobernar$	g o β ɛ ɾ n a ɾ
^golfo$	g o l f o
^golpear$	g o l p e a ɾ
^gorro$	g o r o
^gotear$	g o t e a ɾ
^grande$	g ɾ a n d e
^granja$	g ɾ a n x a
^grano$	g ɾ a n o
^grasa$	g ɾ a s a
^gritar$	g ɾ i t a ɾ
^grueso$	g ɾ w e s o
^gruta$	g ɾ u t a
^guadaɲa$	g w a ð a ɲ a
^guante$	g w a n t e
^guardar$	g w a ɾ ð a ɾ
^guardia$	g w a ɾ ð j a
^guerra$	g ɛ r a
^guiar$	g j a ɾ
^gusano$	g u s a n o
^gustar$	g u s t a ɾ
^habitar$	a β i t a ɾ
^hablar$	a β l a ɾ
^hablar_entre_dientes$	a β l a ɾ + e n t ɾ e + ð j e n t e s
^hacer$	a s ɛ ɾ
^hacha$	a tʃ a
^hacha_de_combate$	a tʃ a + ð e + k o m b a t e
^hada$	a ð a
^halcón$	a l k o n
^hallar$	a ʝ a ɾ
^hambre$	a m b ɾ e
^harina$	a ɾ i n a
^haya$	a ʝ a
^hechicero$	e tʃ i s ɛ ɾ o
^hechicería$	e tʃ i s ɛ ɾ i a
^hediondo$	e ð j o n d o
^hembra$	e m b ɾ a
^hender$	e n d ɛ ɾ
^heno$	e n o
^herida$	ɛ ɾ i ð a
^herir$	ɛ ɾ i ɾ
^hermana$	ɛ ɾ m a n a
^hermana_de_la_madre$	ɛ ɾ m a n a + ð e + l a + m a ð ɾ e
^hermana_del_padre$	ɛ ɾ m a n a + ð ɛ l + p a ð ɾ e
^hermana_mayor$	ɛ ɾ m a n a + m a ʝ o ɾ
^hermana_menor$	ɛ ɾ m a n a + m e n o ɾ
^hermano$	ɛ ɾ m a n o
^hermano_de_la_madre$	ɛ ɾ m a n o + ð e + l a + m a ð ɾ e
^hermano_del_padre$	ɛ ɾ m a n o + ð ɛ l + p a ð ɾ e
^hermano_mayor$	ɛ ɾ m a n o + m a ʝ o ɾ
^hermano_menor$	ɛ ɾ m a n o + m e n o ɾ
^hermoso$	ɛ ɾ m o s o
^herramienta$	ɛ r a m j e n t a
^herrero$	ɛ r ɛ ɾ o
^hervir$	ɛ ɾ β i ɾ
^hielo$	ɟ ʝ e l o
