Grapheme	IPA	Note
^precisar$	p ɾ e s i z a ʁ
^entrar$	ẽ t ɾ a ʁ
^jogar$	ʒ o ɡ a ʁ
^faca$	f a k ɐ
^suportar$	s u p o ʁ t a ʁ
^casca$	k a ʃ k ɐ
^achar$	a ʃ a ʁ
^prisioneiro$	p ɾ i z j o n ei ɾ u
^conservar$	k õ s e ʁ v a ʁ
^salobre$	s a l ɔ b ɾ i
^trapo$	t ɾ a p u
^demorar$	d e m o ɾ a ʁ
^rombudo$	ʁ õ b u d u
^atirar$	a tʃ i ɾ a ʁ
^extinguir$	i ʃ tʃ ĩ ɡ i ʁ
^madrasta$	m a d ɾ a ʃ t ɐ
^dar_ordem$	d a ʁ + ɔ ʁ d ẽĩ
^cozer_no_forno$	k o z e ʁ + n u + f ɔ ʁ n u
^carneiro$	k a ʁ n ei ɾ u
^envolver$	ẽ v ɔu v e ʁ
^enrolar$	ẽ ʁ o l a ʁ
^cru$	k ɾ u
^folha$	f ɔ ʎ ɐ
^esperto$	i ʃ p ɛ ʁ t u
^casa_de_homens$	k a z ɐ + dʒ i + ɔ m ẽ ʃ
^pasto$	p a ʃ t u
^fogão$	f o ɡ ɐ̃ũ
^enxó$	ẽ ʃ ɔ
^vir$	v i ʁ
^acabar$	a k a b a ʁ
^leão$	l j ɐ̃ũ
^funda$	f ũ d ɐ
^leal$	l i au
^enguia$	ẽ ɡ i ɐ
^novo$	n ɔ v u
^véu$	v ɛu
^quarta-feira$	k w a ʁ t a f ei ɾ ɐ
^jacaré$	ʒ a k a ɾ ɛ
^grávida$	ɡ ɾ a v i d ɐ
^absolver$	a b s ɔu v e ʁ
^crescer$	k ɾ e ʃ s e ʁ
^ter_relações_sexuais$	t e ʁ + ʁ e l a s õĩ ʃ + s e k s u ai ʃ
^estar_em_pé$	i ʃ t a ʁ + ẽĩ + p ɛ
^carpete$	k a ʁ p ɛ tʃ i
^você$	v o s e
^chapinhar$	ʃ a p i ɲ a ʁ
^ferramenta$	f e ʁ ɐ m ẽ t ɐ
^espírito$	i ʃ p i ɾ i t u
^bengala$	b ẽ ɡ a l ɐ
