folds: 
  0
  1
  2
  3
  4
  5
  6
  7
  8
  9

10-fold cross-validation on splits directory using lce_for.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
30.0  25.0  872.0   95.0        0.792     0.760  0.776  0.776       0.946  0
33.0  30.0  876.0  107.0        0.781     0.764  0.773  0.773       0.940  1
39.0  35.0  886.0   72.0        0.673     0.649  0.661  0.661       0.928  2
63.0  28.0  782.0  136.0        0.829     0.683  0.749  0.749       0.910  3
44.0  27.0  820.0  124.0        0.821     0.738  0.777  0.777       0.930  4
31.0  24.0  835.0  106.0        0.815     0.774  0.794  0.794       0.945  5
45.0  25.0  848.0  103.0        0.805     0.696  0.746  0.746       0.931  6
37.0  29.0  848.0   95.0        0.766     0.720  0.742  0.742       0.935  7
31.0  28.0  940.0  103.0        0.786     0.769  0.777  0.777       0.946  8
30.0  21.0  874.0  153.0        0.879     0.836  0.857  0.857       0.953  9
38.3  27.2  858.1  109.4        0.795     0.739  0.765  0.765       0.936  mean
10.3   3.8   42.5   22.9        0.053     0.054  0.049  0.049       0.012  stdev
--- seconds --- 00:02:46.22
