folds: 
  0
  1
  2
  3
  4
  5
  6
  7
  8
  9

10-fold cross-validation on splits directory using classifier_based_lr_simple+least_CE.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
23.0  19.0  878.0  102.0        0.843     0.816  0.829  0.829       0.959  0
23.0  15.0  891.0  117.0        0.886     0.836  0.860  0.860       0.964  1
31.0  15.0  906.0   80.0        0.842     0.721  0.777  0.777       0.955  2
50.0  14.0  796.0  149.0        0.914     0.749  0.823  0.823       0.937  3
30.0  24.0  823.0  138.0        0.852     0.821  0.836  0.836       0.947  4
22.0  12.0  847.0  115.0        0.906     0.839  0.871  0.871       0.966  5
32.0  19.0  854.0  116.0        0.859     0.784  0.820  0.820       0.950  6
27.0  19.0  858.0  105.0        0.847     0.795  0.820  0.820       0.954  7
20.0  18.0  950.0  114.0        0.864     0.851  0.857  0.857       0.966  8
21.0  14.0  881.0  162.0        0.920     0.885  0.903  0.903       0.968  9
27.9  16.9  868.4  119.8        0.873     0.810  0.840  0.840       0.957  mean
 8.9   3.5   43.3   24.0        0.031     0.049  0.035  0.035       0.010  stdev
--- seconds --- 00:04:40.09
