
10-fold cross-validation on splits directory using classifier_based_linear_svm_simple+least_CE.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
22.0  19.0  878.0  103.0        0.844     0.824  0.834  0.834       0.960  0
20.0  17.0  889.0  120.0        0.876     0.857  0.866  0.866       0.965  1
26.0  16.0  905.0   85.0        0.842     0.766  0.802  0.802       0.959  2
45.0  14.0  796.0  154.0        0.917     0.774  0.839  0.839       0.942  3
29.0  24.0  823.0  139.0        0.853     0.827  0.840  0.840       0.948  4
20.0  12.0  847.0  117.0        0.907     0.854  0.880  0.880       0.968  5
26.0  21.0  852.0  122.0        0.853     0.824  0.838  0.838       0.954  6
26.0  20.0  857.0  106.0        0.841     0.803  0.822  0.822       0.954  7
20.0  19.0  949.0  114.0        0.857     0.851  0.854  0.854       0.965  8
21.0  15.0  880.0  162.0        0.915     0.885  0.900  0.900       0.967  9
25.5  17.7  867.6  122.2        0.871     0.827  0.848  0.848       0.958  mean
 7.6   3.6   43.0   23.6        0.031     0.038  0.029  0.029       0.009  stdev
--- seconds --- 00:04:14.85
