folds: 
  0
  1
  2
  3
  4
  5
  6
  7
  8
  9

10-fold cross-validation on splits directory using classifier_based_rbf_svm_simple+least_CE.
  fn    fp     tn     tp    precision    recall     f1     fb    accuracy  fold
----  ----  -----  -----  -----------  --------  -----  -----  ----------  ------
23.0  19.0  878.0  102.0        0.843     0.816  0.829  0.829       0.959  0
24.0  16.0  890.0  116.0        0.879     0.829  0.853  0.853       0.962  1
30.0  16.0  905.0   81.0        0.835     0.730  0.779  0.779       0.955  2
50.0  14.0  796.0  149.0        0.914     0.749  0.823  0.823       0.937  3
34.0  24.0  823.0  134.0        0.848     0.798  0.822  0.822       0.943  4
24.0  11.0  848.0  113.0        0.911     0.825  0.866  0.866       0.965  5
32.0  16.0  857.0  116.0        0.879     0.784  0.829  0.829       0.953  6
29.0  19.0  858.0  103.0        0.844     0.780  0.811  0.811       0.952  7
21.0  18.0  950.0  113.0        0.863     0.843  0.853  0.853       0.965  8
21.0  15.0  880.0  162.0        0.915     0.885  0.900  0.900       0.967  9
28.8  16.8  868.5  118.9        0.873     0.804  0.837  0.837       0.956  mean
 8.8   3.5   43.0   23.7        0.031     0.046  0.033  0.033       0.010  stdev
--- seconds --- 00:04:33.09
