ID,Name,Concepticon_ID,Concepticon_Gloss
WORLD,WORLD,965,WORLD
LAND,LAND,626,LAND
EARTHSOIL,EARTH (SOIL),1228,EARTH (SOIL)
DUST,DUST,2,DUST
MUD,MUD,640,MUD
SAND,SAND,671,SAND
MOUNTAINORHILL,MOUNTAIN OR HILL,2118,MOUNTAIN OR HILL
PRECIPICE,PRECIPICE,618,PRECIPICE
PLAIN,PLAIN,652,PLAIN
VALLEY,VALLEY,921,VALLEY
ISLAND,ISLAND,622,ISLAND
MAINLAND,MAINLAND,166,MAINLAND
SHORE,SHORE,113,SHORE
CAVE,CAVE,1155,CAVE
WATER,WATER,948,WATER
SEA,SEA,1474,SEA
CALMOFSEA,CALM (OF SEA),3820,CALM (OF SEA)
ROUGHOFSEA,ROUGH (OF SEA),259,ROUGH (OF SEA)
FOAM,FOAM,1768,FOAM
OCEAN,OCEAN,645,OCEAN
LAKE,LAKE,624,LAKE
BAY,BAY,663,BAY
LAGOON,LAGOON,623,LAGOON
REEF,REEF,660,REEF
CAPE,CAPE,1662,CAPE
WAVE,WAVE,978,WAVE
TIDE,TIDE,891,TIDE
LOWTIDE,LOW TIDE,1026,LOW TIDE
HIGHTIDE,HIGH TIDE,613,HIGH TIDE
FLOWINGBODYOFWATER,FLOWING BODY OF WATER,3311,FLOWING BODY OF WATER
WHIRLPOOL,WHIRLPOOL,1982,WHIRLPOOL
SPRINGORWELL,SPRING OR WELL,2144,SPRING OR WELL
SWAMP,SWAMP,1145,SWAMP
WATERFALL,WATERFALL,943,WATERFALL
FOREST,FOREST,420,FOREST
TREE,TREE,906,TREE
WOOD,WOOD,1803,WOOD
STONEORROCK,STONE OR ROCK,2125,STONE OR ROCK
EARTHQUAKE,EARTHQUAKE,6,EARTHQUAKE
SKY,SKY,1732,SKY
SUN,SUN,1343,SUN
MOON,MOON,1313,MOON
STAR,STAR,1430,STAR
LIGHTNING,LIGHTNING,1654,LIGHTNING
THUNDER,THUNDER,1150,THUNDER
BOLTOFLIGHTNING,BOLT (OF LIGHTNING),2007,BOLT (OF LIGHTNING)
STORM,STORM,858,STORM
RAINBOW,RAINBOW,1733,RAINBOW
LIGHTRADIATION,LIGHT (RADIATION),630,LIGHT (RADIATION)
DARKNESS,DARKNESS,11,DARKNESS
SHADE,SHADE,1388,SHADE
DEW,DEW,1977,DEW
AIR,AIR,27,AIR
WIND,WIND,960,WIND
CLOUD,CLOUD,1489,CLOUD
FOG,FOG,249,FOG
RAINPRECIPITATION,RAIN (PRECIPITATION),658,RAIN (PRECIPITATION)
SNOW,SNOW,784,SNOW
ICE,ICE,617,ICE
WEATHER,WEATHER,952,WEATHER
FIRE,FIRE,221,FIRE
FLAME,FLAME,889,FLAME
SMOKEEXHAUST,SMOKE (EXHAUST),778,SMOKE (EXHAUST)
ASH,ASH,646,ASH
EMBERS,EMBERS,67,EMBERS
BURNSOMETHING,BURN (SOMETHING),141,BURN (SOMETHING)
BURNING,BURNING,1428,BURNING
LIGHTIGNITE,LIGHT (IGNITE),737,LIGHT (IGNITE)
EXTINGUISH,EXTINGUISH,127,EXTINGUISH
MATCH,MATCH,1133,MATCH
FIREWOOD,FIREWOOD,10,FIREWOOD
CHARCOAL,CHARCOAL,1188,CHARCOAL
PERSON,PERSON,683,PERSON
MAN,MAN,1554,MAN
WOMAN,WOMAN,962,WOMAN
MALEOFPERSON,MALE (OF PERSON),2261,MALE (OF PERSON)
