ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Value_in_Source,ConceptInSource,Borrowed,Borrowed_Score,Borrowed_Base,Age,Age_Score,Donor_Language,Donor_Meaning,Donor_Value
Spanish-ISLAND-1,ids-176-1-250-1,Spanish,ISLAND,isla,isla,i s l a,,IDS;Miller2023,,,^isla$,Spanish,isla,,,,,,,,,
Spanish-MAINLAND-1,ids-176-1-260-1,Spanish,MAINLAND,continente,continente,k o n t i n e n t e,,IDS;Miller2023,,,^continente$,Spanish,continente; tierra firme,,,,,,,,,
Spanish-MAINLAND-2,ids-176-1-260-2,Spanish,MAINLAND,tierra firme,tierra_firme,t j ɛ r a + f i ɾ m e,,IDS;Miller2023,,,^tierra_firme$,Spanish,continente; tierra firme,,,,,,,,,
Spanish-SHORE-1,ids-176-1-270-1,Spanish,SHORE,ribera,ribera,r i β ɛ ɾ a,,IDS;Miller2023,,,^ribera$,Spanish,ribera; playa; costa,,,,,,,,,
Spanish-SHORE-2,ids-176-1-270-2,Spanish,SHORE,playa,playa,p l a ʝ a,,IDS;Miller2023,,,^playa$,Spanish,ribera; playa; costa,,,,,,,,,
Spanish-SHORE-3,ids-176-1-270-3,Spanish,SHORE,costa,costa,k o s t a,,IDS;Miller2023,,,^costa$,Spanish,ribera; playa; costa,,,,,,,,,
Spanish-CAVE-1,ids-176-1-280-1,Spanish,CAVE,cueva,cueva,k w e β a,,IDS;Miller2023,,,^cueva$,Spanish,cueva; gruta,,,,,,,,,
Spanish-CAVE-2,ids-176-1-280-2,Spanish,CAVE,gruta,gruta,g ɾ u t a,,IDS;Miller2023,,,^gruta$,Spanish,cueva; gruta,,,,,,,,,
Spanish-WATER-1,ids-176-1-310-1,Spanish,WATER,agua,agua,a ɣ w a,,IDS;Miller2023,,,^agua$,Spanish,agua,,,,,,,,,
Spanish-SEA-1,ids-176-1-320-1,Spanish,SEA,mar,mar,m a ɾ,,IDS;Miller2023,,,^mar$,Spanish,mar,,,,,,,,,
Spanish-CALMOFSEA-1,ids-176-1-322-1,Spanish,CALMOFSEA,calma,calma,k a l m a,,IDS;Miller2023,,,^calma$,Spanish,calma,,,,,,,,,
Spanish-ROUGHOFSEA-1,ids-176-1-323-1,Spanish,ROUGHOFSEA,agitado,agitado,a x i t a ð o,,IDS;Miller2023,,,^agitado$,Spanish,agitado (mar); borrascoso,,,,,,,,,
Spanish-ROUGHOFSEA-2,ids-176-1-323-2,Spanish,ROUGHOFSEA,borrascoso,borrascoso,b o r a s k o s o,,IDS;Miller2023,,,^borrascoso$,Spanish,agitado (mar); borrascoso,,,,,,,,,
Spanish-FOAM-1,ids-176-1-324-1,Spanish,FOAM,espuma,espuma,ɛ s p u m a,,IDS;Miller2023,,,^espuma$,Spanish,espuma,,,,,,,,,
Spanish-OCEAN-1,ids-176-1-329-1,Spanish,OCEAN,océano,océano,o s e a n o,,IDS;Miller2023,,,^océano$,Spanish,océano,,,,,,,,,
Spanish-LAKE-1,ids-176-1-330-1,Spanish,LAKE,lago,lago,l a ɣ o,,IDS;Miller2023,,,^lago$,Spanish,lago,,,,,,,,,
Spanish-BAY-1,ids-176-1-340-1,Spanish,BAY,golfo,golfo,g o l f o,,IDS;Miller2023,,,^golfo$,Spanish,golfo; bahía,,,,,,,,,
Spanish-BAY-2,ids-176-1-340-2,Spanish,BAY,bahía,bahía,b a i a,,IDS;Miller2023,,,^bahía$,Spanish,golfo; bahía,,,,,,,,,
Spanish-LAGOON-1,ids-176-1-341-1,Spanish,LAGOON,laguna,laguna,l a ɣ u n a,,IDS;Miller2023,,,^laguna$,Spanish,laguna,,,,,,,,,
Spanish-REEF-1,ids-176-1-342-1,Spanish,REEF,arrecife,arrecife,a r e s i f e,,IDS;Miller2023,,,^arrecife$,Spanish,arrecife,,,,,,,,,
Spanish-CAPE-1,ids-176-1-343-1,Spanish,CAPE,promontorio,promontorio,p ɾ o m o n t o ɾ j o,,IDS;Miller2023,,,^promontorio$,Spanish,promontorio; punta,,,,,,,,,
Spanish-CAPE-2,ids-176-1-343-2,Spanish,CAPE,punta,punta,p u n t a,,IDS;Miller2023,,,^punta$,Spanish,promontorio; punta,,,,,,,,,
Spanish-WAVE-1,ids-176-1-350-1,Spanish,WAVE,ola,ola,o l a,,IDS;Miller2023,,,^ola$,Spanish,ola,,,,,,,,,
Spanish-TIDE-1,ids-176-1-352-1,Spanish,TIDE,marea,marea,m a ɾ e a,,IDS;Miller2023,,,^marea$,Spanish,marea,,,,,,,,,
Spanish-LOWTIDE-1,ids-176-1-353-1,Spanish,LOWTIDE,bajamar,bajamar,b a x a m a ɾ,,IDS;Miller2023,,,^bajamar$,Spanish,bajamar,,,,,,,,,
Spanish-HIGHTIDE-1,ids-176-1-354-1,Spanish,HIGHTIDE,pleamar,pleamar,p l e a m a ɾ,,IDS;Miller2023,,,^pleamar$,Spanish,pleamar,,,,,,,,,
Spanish-FLOWINGBODYOFWATER-1,ids-176-1-360-1,Spanish,FLOWINGBODYOFWATER,río,río,r i o,,IDS;Miller2023,,,^río$,Spanish,río; corriente; arroyo,,,,,,,,,
Spanish-FLOWINGBODYOFWATER-2,ids-176-1-360-2,Spanish,FLOWINGBODYOFWATER,corriente,corriente,k o r j e n t e,,IDS;Miller2023,,,^corriente$,Spanish,río; corriente; arroyo,,,,,,,,,
Spanish-FLOWINGBODYOFWATER-3,ids-176-1-360-3,Spanish,FLOWINGBODYOFWATER,arroyo,arroyo,a r o ʝ o,,IDS;Miller2023,,,^arroyo$,Spanish,río; corriente; arroyo,,,,,,,,,
Spanish-WHIRLPOOL-1,ids-176-1-362-1,Spanish,WHIRLPOOL,remolino,remolino,r e m o l i n o,,IDS;Miller2023,,,^remolino$,Spanish,remolino,,,,,,,,,
Spanish-SPRINGORWELL-1,ids-176-1-370-1,Spanish,SPRINGORWELL,manantial,manantial,m a n a n t j a l,,IDS;Miller2023,,,^manantial$,Spanish,manantial; pozo,,,,,,,,,
Spanish-SPRINGORWELL-2,ids-176-1-370-2,Spanish,SPRINGORWELL,pozo,pozo,p o s o,,IDS;Miller2023,,,^pozo$,Spanish,manantial; pozo,,,,,,,,,
Spanish-SWAMP-1,ids-176-1-380-1,Spanish,SWAMP,pantano,pantano,p a n t a n o,,IDS;Miller2023,,,^pantano$,Spanish,pantano,,,,,,,,,
Spanish-WATERFALL-1,ids-176-1-390-1,Spanish,WATERFALL,cascada,cascada,k a s k a ð a,,IDS;Miller2023,,,^cascada$,Spanish,cascada; salto,,,,,,,,,
Spanish-WATERFALL-2,ids-176-1-390-2,Spanish,WATERFALL,salto,salto,s a l t o,,IDS;Miller2023,,,^salto$,Spanish,cascada; salto,,,,,,,,,
Spanish-FOREST-1,ids-176-1-410-1,Spanish,FOREST,bosque,bosque,b o s k e,,IDS;Miller2023,,,^bosque$,Spanish,bosque; selva,,,,,,,,,
Spanish-FOREST-2,ids-176-1-410-2,Spanish,FOREST,selva,selva,s ɛ l β a,,IDS;Miller2023,,,^selva$,Spanish,bosque; selva,,,,,,,,,
Spanish-TREE-1,ids-176-1-420-1,Spanish,TREE,árbol,árbol,a ɾ β o l,,IDS;Miller2023,,,^árbol$,Spanish,árbol,,,,,,,,,
Spanish-WOOD-1,ids-176-1-430-1,Spanish,WOOD,madera,madera,m a ð ɛ ɾ a,,IDS;Miller2023,,,^madera$,Spanish,madera,,,,,,,,,
Spanish-STONEORROCK-1,ids-176-1-440-1,Spanish,STONEORROCK,piedra,piedra,p j e ð ɾ a,,IDS;Miller2023,,,^piedra$,Spanish,piedra; roca,,,,,,,,,
Spanish-STONEORROCK-2,ids-176-1-440-2,Spanish,STONEORROCK,roca,roca,r o k a,,IDS;Miller2023,,,^roca$,Spanish,piedra; roca,,,,,,,,,
Spanish-EARTHQUAKE-1,ids-176-1-450-1,Spanish,EARTHQUAKE,terremoto,terremoto,t ɛ r e m o t o,,IDS;Miller2023,,,^terremoto$,Spanish,terremoto; temblor,,,,,,,,,
Spanish-EARTHQUAKE-2,ids-176-1-450-2,Spanish,EARTHQUAKE,temblor,temblor,t e m b l o ɾ,,IDS;Miller2023,,,^temblor$,Spanish,terremoto; temblor,,,,,,,,,
Spanish-SKY-1,ids-176-1-510-1,Spanish,SKY,cielo,cielo,s j e l o,,IDS;Miller2023,,,^cielo$,Spanish,cielo,,,,,,,,,
Spanish-SUN-1,ids-176-1-520-1,Spanish,SUN,sol,sol,s o l,,IDS;Miller2023,,,^sol$,Spanish,sol,,,,,,,,,
Spanish-MOON-1,ids-176-1-530-1,Spanish,MOON,luna,luna,l u n a,,IDS;Miller2023,,,^luna$,Spanish,luna,,,,,,,,,
Spanish-STAR-1,ids-176-1-540-1,Spanish,STAR,estrella,estrella,ɛ s t ɾ e ʝ a,,IDS;Miller2023,,,^estrella$,Spanish,estrella,,,,,,,,,
Spanish-LIGHTNING-1,ids-176-1-550-1,Spanish,LIGHTNING,relámpago,relámpago,r e l a m p a ɣ o,,IDS;Miller2023,,,^relámpago$,Spanish,relámpago,,,,,,,,,
Spanish-THUNDER-1,ids-176-1-560-1,Spanish,THUNDER,trueno,trueno,t ɾ w e n o,,IDS;Miller2023,,,^trueno$,Spanish,trueno,,,,,,,,,
Spanish-BOLTOFLIGHTNING-1,ids-176-1-570-1,Spanish,BOLTOFLIGHTNING,rayo,rayo,r a ʝ o,,IDS;Miller2023,,,^rayo$,Spanish,rayo,,,,,,,,,
Spanish-STORM-1,ids-176-1-580-1,Spanish,STORM,tempestad,tempestad,t e m p ɛ s t a ð,,IDS;Miller2023,,,^tempestad$,Spanish,tempestad; tormenta,,,,,,,,,
Spanish-STORM-2,ids-176-1-580-2,Spanish,STORM,tormenta,tormenta,t o ɾ m e n t a,,IDS;Miller2023,,,^tormenta$,Spanish,tempestad; tormenta,,,,,,,,,
Spanish-RAINBOW-1,ids-176-1-590-1,Spanish,RAINBOW,arco iris,arco_iris,a ɾ k o + i ɾ i s,,IDS;Miller2023,,,^arco_iris$,Spanish,arco iris,,,,,,,,,
Spanish-LIGHTRADIATION-1,ids-176-1-610-1,Spanish,LIGHTRADIATION,luz,luz,l u s,,IDS;Miller2023,,,^luz$,Spanish,luz,,,,,,,,,
Spanish-DARKNESS-1,ids-176-1-620-1,Spanish,DARKNESS,oscuridad,oscuridad,o s k u ɾ i ð a ð,,IDS;Miller2023,,,^oscuridad$,Spanish,oscuridad; tinieblas,,,,,,,,,
Spanish-DARKNESS-2,ids-176-1-620-2,Spanish,DARKNESS,tinieblas,tinieblas,t i n j e β l a s,,IDS;Miller2023,,,^tinieblas$,Spanish,oscuridad; tinieblas,,,,,,,,,
Spanish-SHADE-1,ids-176-1-630-1,Spanish,SHADE,sombra,sombra,s o m b ɾ a,,IDS;Miller2023,,,^sombra$,Spanish,sombra,,,,,,,,,
Spanish-DEW-1,ids-176-1-640-1,Spanish,DEW,rocío,rocío,r o s i o,,IDS;Miller2023,,,^rocío$,Spanish,rocío,,,,,,,,,
Spanish-AIR-1,ids-176-1-710-1,Spanish,AIR,aire,aire,a i ɾ e,,IDS;Miller2023,,,^aire$,Spanish,aire,,,,,,,,,
Spanish-WIND-1,ids-176-1-720-1,Spanish,WIND,viento,viento,b j e n t o,,IDS;Miller2023,,,^viento$,Spanish,viento,,,,,,,,,
Spanish-CLOUD-1,ids-176-1-730-1,Spanish,CLOUD,nube,nube,n u β e,,IDS;Miller2023,,,^nube$,Spanish,nube,,,,,,,,,
Spanish-FOG-1,ids-176-1-740-1,Spanish,FOG,neblina,neblina,n e β l i n a,,IDS;Miller2023,,,^neblina$,Spanish,neblina; niebla,,,,,,,,,
Spanish-FOG-2,ids-176-1-740-2,Spanish,FOG,niebla,niebla,n j e β l a,,IDS;Miller2023,,,^niebla$,Spanish,neblina; niebla,,,,,,,,,
Spanish-RAINPRECIPITATION-1,ids-176-1-750-1,Spanish,RAINPRECIPITATION,lluvia,lluvia,ɟ ʝ u β j a,,IDS;Miller2023,,,^lluvia$,Spanish,lluvia,,,,,,,,,
Spanish-SNOW-1,ids-176-1-760-1,Spanish,SNOW,nieve,nieve,n j e β e,,IDS;Miller2023,,,^nieve$,Spanish,nieve,,,,,,,,,
Spanish-ICE-1,ids-176-1-770-1,Spanish,ICE,hielo,hielo,ɟ ʝ e l o,,IDS;Miller2023,,,^hielo$,Spanish,hielo,,,,,,,,,
Spanish-WEATHER-1,ids-176-1-780-1,Spanish,WEATHER,tiempo,tiempo,t j e m p o,,IDS;Miller2023,,,^tiempo$,Spanish,tiempo,,,,,,,,,
Spanish-FIRE-1,ids-176-1-810-1,Spanish,FIRE,fuego,fuego,f w e ɣ o,,IDS;Miller2023,,,^fuego$,Spanish,fuego,,,,,,,,,
Spanish-FLAME-1,ids-176-1-820-1,Spanish,FLAME,llama,llama,ɟ ʝ a m a,,IDS;Miller2023,,,^llama$,Spanish,llama,,,,,,,,,
Spanish-SMOKEEXHAUST-1,ids-176-1-830-1,Spanish,SMOKEEXHAUST,humo,humo,u m o,,IDS;Miller2023,,,^humo$,Spanish,humo,,,,,,,,,
Spanish-ASH-1,ids-176-1-840-1,Spanish,ASH,cenizas,cenizas,s e n i s a s,,IDS;Miller2023,,,^cenizas$,Spanish,cenizas,,,,,,,,,
Spanish-EMBERS-1,ids-176-1-841-1,Spanish,EMBERS,brasas,brasas,b ɾ a s a s,,IDS;Miller2023,,,^brasas$,Spanish,brasas,,,,,,,,,
Spanish-BURNSOMETHING-1,ids-176-1-851-1,Spanish,BURNSOMETHING,quemar,quemar,k e m a ɾ,,IDS;Miller2023,,,^quemar$,Spanish,"quemar, quemarse",,,,,,,,,
Spanish-BURNSOMETHING-2,ids-176-1-851-2,Spanish,BURNSOMETHING,quemarse,quemarse,k e m a ɾ s e,,IDS;Miller2023,,,^quemarse$,Spanish,"quemar, quemarse",,,,,,,,,
Spanish-BURNING-1,ids-176-1-852-1,Spanish,BURNING,arder,arder,a ɾ ð ɛ ɾ,,IDS;Miller2023,,,^arder$,Spanish,arder,,,,,,,,,
Spanish-LIGHTIGNITE-1,ids-176-1-860-1,Spanish,LIGHTIGNITE,encender,encender,e n s e n d ɛ ɾ,,IDS;Miller2023,,,^encender$,Spanish,encender,,,,,,,,,
Spanish-EXTINGUISH-1,ids-176-1-861-1,Spanish,EXTINGUISH,apagar,apagar,a p a ɣ a ɾ,,IDS;Miller2023,,,^apagar$,Spanish,apagar; extinguir,,,,,,,,,
Spanish-EXTINGUISH-2,ids-176-1-861-2,Spanish,EXTINGUISH,extinguir,extinguir,ɛ k s t i n g i ɾ,,IDS;Miller2023,,,^extinguir$,Spanish,apagar; extinguir,,,,,,,,,
Spanish-MATCH-1,ids-176-1-870-1,Spanish,MATCH,fósforo,fósforo,f o s f o ɾ o,,IDS;Miller2023,,,^fósforo$,Spanish,fósforo; cerilla,,,,,,,,,
Spanish-MATCH-2,ids-176-1-870-2,Spanish,MATCH,cerilla,cerilla,s ɛ ɾ i ʝ a,,IDS;Miller2023,,,^cerilla$,Spanish,fósforo; cerilla,,,,,,,,,
Spanish-FIREWOOD-1,ids-176-1-880-1,Spanish,FIREWOOD,leɲa,leɲa,l e ɲ a,,IDS;Miller2023,,,^leɲa$,Spanish,leɲa,,,,,,,,,
Spanish-CHARCOAL-1,ids-176-1-890-1,Spanish,CHARCOAL,carbón,carbón,k a ɾ β o n,,IDS;Miller2023,,,^carbón$,Spanish,carbón,,,,,,,,,
Spanish-PERSON-1,ids-176-2-100-1,Spanish,PERSON,persona,persona,p ɛ ɾ s o n a,,IDS;Miller2023,,,^persona$,Spanish,persona,,,,,,,,,
Spanish-MAN-1,ids-176-2-210-1,Spanish,MAN,hombre,hombre,o m b ɾ e,,IDS;Miller2023,,,^hombre$,Spanish,hombre,,,,,,,,,
Spanish-WOMAN-1,ids-176-2-220-1,Spanish,WOMAN,mujer,mujer,m u x ɛ ɾ,,IDS;Miller2023,,,^mujer$,Spanish,mujer,,,,,,,,,
Spanish-MALEOFPERSON-1,ids-176-2-230-1,Spanish,MALEOFPERSON,varón,varón,b a ɾ o n,,IDS;Miller2023,,,^varón$,Spanish,varón; macho,,,,,,,,,
Spanish-MALEOFPERSON-2,ids-176-2-230-2,Spanish,MALEOFPERSON,macho,macho,m a tʃ o,,IDS;Miller2023,,,^macho$,Spanish,varón; macho,,,,,,,,,
Spanish-FEMALEOFPERSON-1,ids-176-2-240-1,Spanish,FEMALEOFPERSON,hembra,hembra,e m b ɾ a,,IDS;Miller2023,,,^hembra$,Spanish,hembra,,,,,,,,,
Spanish-BOY-1,ids-176-2-250-1,Spanish,BOY,muchacho,muchacho,m u tʃ a tʃ o,,IDS;Miller2023,,,^muchacho$,Spanish,muchacho,,,,,,,,,
Spanish-YOUNGMAN-1,ids-176-2-251-1,Spanish,YOUNGMAN,el joven,el_joven,ɛ l + x o β e n,,IDS;Miller2023,,,^el_joven$,Spanish,el joven,,,,,,,,,
Spanish-GIRL-1,ids-176-2-260-1,Spanish,GIRL,muchacha,muchacha,m u tʃ a tʃ a,,IDS;Miller2023,,,^muchacha$,Spanish,muchacha,,,,,,,,,
Spanish-YOUNGWOMAN-1,ids-176-2-261-1,Spanish,YOUNGWOMAN,la joven,la_joven,l a + x o β e n,,IDS;Miller2023,,,^la_joven$,Spanish,la joven,,,,,,,,,
Spanish-CHILDYOUNGHUMAN-1,ids-176-2-270-1,Spanish,CHILDYOUNGHUMAN,niɲo,niɲo,n i ɲ o,,IDS;Miller2023,,,^niɲo$,Spanish,niɲo,,,,,,,,,
Spanish-BABY-1,ids-176-2-280-1,Spanish,BABY,niɲo,niɲo,n i ɲ o,,IDS;Miller2023,,,^niɲo$,Spanish,niɲo; bebé; nene,,,,,,,,,
Spanish-BABY-2,ids-176-2-280-2,Spanish,BABY,bebé,bebé,b e β e,,IDS;Miller2023,,,^bebé$,Spanish,niɲo; bebé; nene,,,,,,,,,
Spanish-BABY-3,ids-176-2-280-3,Spanish,BABY,nene,nene,n e n e,,IDS;Miller2023,,,^nene$,Spanish,niɲo; bebé; nene,,,,,,,,,
Spanish-HUSBAND-1,ids-176-2-310-1,Spanish,HUSBAND,marido,marido,m a ɾ i ð o,,IDS;Miller2023,,,^marido$,Spanish,marido; esposo,,,,,,,,,
Spanish-HUSBAND-2,ids-176-2-310-2,Spanish,HUSBAND,esposo,esposo,ɛ s p o s o,,IDS;Miller2023,,,^esposo$,Spanish,marido; esposo,,,,,,,,,
Spanish-WIFE-1,ids-176-2-320-1,Spanish,WIFE,esposa,esposa,ɛ s p o s a,,IDS;Miller2023,,,^esposa$,Spanish,esposa,,,,,,,,,
Spanish-MARRY-1,ids-176-2-330-1,Spanish,MARRY,casarse,casarse,k a s a ɾ s e,,IDS;Miller2023,,,^casarse$,Spanish,casarse,,,,,,,,,
Spanish-MARRIAGEORWEDDING-1,ids-176-2-340-1,Spanish,MARRIAGEORWEDDING,casamiento,casamiento,k a s a m j e n t o,,IDS;Miller2023,,,^casamiento$,Spanish,casamiento; boda,,,,,,,,,
Spanish-MARRIAGEORWEDDING-2,ids-176-2-340-2,Spanish,MARRIAGEORWEDDING,boda,boda,b o ð a,,IDS;Miller2023,,,^boda$,Spanish,casamiento; boda,,,,,,,,,
Spanish-DIVORCE-1,ids-176-2-341-1,Spanish,DIVORCE,divorcio,divorcio,d i β o ɾ s j o,,IDS;Miller2023,,,^divorcio$,Spanish,divorcio,,,,,,,,,
Spanish-FATHER-1,ids-176-2-350-1,Spanish,FATHER,padre,padre,p a ð ɾ e,,IDS;Miller2023,,,^padre$,Spanish,padre,,,,,,,,,
Spanish-MOTHER-1,ids-176-2-360-1,Spanish,MOTHER,madre,madre,m a ð ɾ e,,IDS;Miller2023,,,^madre$,Spanish,madre,,,,,,,,,
Spanish-PARENTS-1,ids-176-2-370-1,Spanish,PARENTS,padres,padres,p a ð ɾ e s,,IDS;Miller2023,,,^padres$,Spanish,padres,,,,,,,,,
Spanish-MARRIEDMAN-1,ids-176-2-380-1,Spanish,MARRIEDMAN,hombre casado,hombre_casado,o m b ɾ e + k a s a ð o,,IDS;Miller2023,,,^hombre_casado$,Spanish,hombre casado,,,,,,,,,
Spanish-MARRIEDWOMAN-1,ids-176-2-390-1,Spanish,MARRIEDWOMAN,mujer casada,mujer_casada,m u x ɛ ɾ + k a s a ð a,,IDS;Miller2023,,,^mujer_casada$,Spanish,mujer casada,,,,,,,,,
Spanish-SON-1,ids-176-2-410-1,Spanish,SON,hijo,hijo,i x o,,IDS;Miller2023,,,^hijo$,Spanish,hijo,,,,,,,,,
Spanish-DAUGHTER-1,ids-176-2-420-1,Spanish,DAUGHTER,hija,hija,i x a,,IDS;Miller2023,,,^hija$,Spanish,hija,,,,,,,,,
Spanish-CHILDDESCENDANT-1,ids-176-2-430-1,Spanish,CHILDDESCENDANT,hijo,hijo,i x o,,IDS;Miller2023,,,^hijo$,Spanish,"hijo, hija",,,,,,,,,
Spanish-CHILDDESCENDANT-2,ids-176-2-430-2,Spanish,CHILDDESCENDANT,hija,hija,i x a,,IDS;Miller2023,,,^hija$,Spanish,"hijo, hija",,,,,,,,,
Spanish-BROTHER-1,ids-176-2-440-1,Spanish,BROTHER,hermano,hermano,ɛ ɾ m a n o,,IDS;Miller2023,,,^hermano$,Spanish,hermano,,,,,,,,,
Spanish-OLDERBROTHER-1,ids-176-2-444-1,Spanish,OLDERBROTHER,hermano mayor,hermano_mayor,ɛ ɾ m a n o + m a ʝ o ɾ,,IDS;Miller2023,,,^hermano_mayor$,Spanish,hermano mayor,,,,,,,,,
Spanish-YOUNGERBROTHER-1,ids-176-2-445-1,Spanish,YOUNGERBROTHER,hermano menor,hermano_menor,ɛ ɾ m a n o + m e n o ɾ,,IDS;Miller2023,,,^hermano_menor$,Spanish,hermano menor,,,,,,,,,
Spanish-SISTER-1,ids-176-2-450-1,Spanish,SISTER,hermana,hermana,ɛ ɾ m a n a,,IDS;Miller2023,,,^hermana$,Spanish,hermana,,,,,,,,,
Spanish-OLDERSISTER-1,ids-176-2-454-1,Spanish,OLDERSISTER,hermana mayor,hermana_mayor,ɛ ɾ m a n a + m a ʝ o ɾ,,IDS;Miller2023,,,^hermana_mayor$,Spanish,hermana mayor,,,,,,,,,
Spanish-YOUNGERSISTER-1,ids-176-2-455-1,Spanish,YOUNGERSISTER,hermana menor,hermana_menor,ɛ ɾ m a n a + m e n o ɾ,,IDS;Miller2023,,,^hermana_menor$,Spanish,hermana menor,,,,,,,,,
Spanish-SIBLING-1,ids-176-2-456-1,Spanish,SIBLING,hermano,hermano,ɛ ɾ m a n o,,IDS;Miller2023,,,^hermano$,Spanish,hermano/ hermana,,,,,,,,,
Spanish-SIBLING-2,ids-176-2-456-2,Spanish,SIBLING,hermana,hermana,ɛ ɾ m a n a,,IDS;Miller2023,,,^hermana$,Spanish,hermano/ hermana,,,,,,,,,
Spanish-TWINS-1,ids-176-2-458-1,Spanish,TWINS,gemelos,gemelos,x e m e l o s,,IDS;Miller2023,,,^gemelos$,Spanish,gemelos; mellizo,,,,,,,,,
Spanish-TWINS-2,ids-176-2-458-2,Spanish,TWINS,mellizo,mellizo,m e ʝ i s o,,IDS;Miller2023,,,^mellizo$,Spanish,gemelos; mellizo,,,,,,,,,
Spanish-GRANDFATHER-1,ids-176-2-460-1,Spanish,GRANDFATHER,abuelo,abuelo,a β w e l o,,IDS;Miller2023,,,^abuelo$,Spanish,abuelo,,,,,,,,,
Spanish-OLDMAN-1,ids-176-2-461-1,Spanish,OLDMAN,anciano,anciano,a n s j a n o,,IDS;Miller2023,,,^anciano$,Spanish,anciano; hombre viejo,,,,,,,,,
Spanish-OLDMAN-2,ids-176-2-461-2,Spanish,OLDMAN,hombre viejo,hombre_viejo,o m b ɾ e + β j e x o,,IDS;Miller2023,,,^hombre_viejo$,Spanish,anciano; hombre viejo,,,,,,,,,
Spanish-GRANDMOTHER-1,ids-176-2-470-1,Spanish,GRANDMOTHER,abuela,abuela,a β w e l a,,IDS;Miller2023,,,^abuela$,Spanish,abuela,,,,,,,,,
Spanish-OLDWOMAN-1,ids-176-2-471-1,Spanish,OLDWOMAN,anciana,anciana,a n s j a n a,,IDS;Miller2023,,,^anciana$,Spanish,anciana; mujer vieja,,,,,,,,,
Spanish-OLDWOMAN-2,ids-176-2-471-2,Spanish,OLDWOMAN,mujer vieja,mujer_vieja,m u x ɛ ɾ + β j e x a,,IDS;Miller2023,,,^mujer_vieja$,Spanish,anciana; mujer vieja,,,,,,,,,
Spanish-GRANDSON-1,ids-176-2-480-1,Spanish,GRANDSON,nieto,nieto,n j ɛ t o,,IDS;Miller2023,,,^nieto$,Spanish,nieto,,,,,,,,,
