ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Value_in_Source,ConceptInSource,Borrowed,Borrowed_Score,Borrowed_Base,Age,Age_Score,Donor_Language,Donor_Meaning,Donor_Value
Spanish-WORLD-1,ids-176-1-100-1,Spanish,WORLD,mundo,mundo,m u n d o,,IDS;Miller2023,,,^mundo$,Spanish,mundo,,,,,,,,,
Spanish-LAND-1,ids-176-1-210-1,Spanish,LAND,tierra,tierra,t j ɛ r a,,IDS;Miller2023,,,^tierra$,Spanish,tierra,,,,,,,,,
Spanish-EARTHSOIL-1,ids-176-1-212-1,Spanish,EARTHSOIL,suelo,suelo,s w e l o,,IDS;Miller2023,,,^suelo$,Spanish,suelo,,,,,,,,,
Spanish-DUST-1,ids-176-1-213-1,Spanish,DUST,polvo,polvo,p o l β o,,IDS;Miller2023,,,^polvo$,Spanish,polvo,,,,,,,,,
Spanish-MUD-1,ids-176-1-214-1,Spanish,MUD,lodo,lodo,l o ð o,,IDS;Miller2023,,,^lodo$,Spanish,lodo,,,,,,,,,
Spanish-SAND-1,ids-176-1-215-1,Spanish,SAND,arena,arena,a ɾ e n a,,IDS;Miller2023,,,^arena$,Spanish,arena,,,,,,,,,
Spanish-MOUNTAINORHILL-1,ids-176-1-220-1,Spanish,MOUNTAINORHILL,montaɲa,montaɲa,m o n t a ɲ a,,IDS;Miller2023,,,^montaɲa$,Spanish,montaɲa; loma; cerro,,,,,,,,,
Spanish-MOUNTAINORHILL-2,ids-176-1-220-2,Spanish,MOUNTAINORHILL,loma,loma,l o m a,,IDS;Miller2023,,,^loma$,Spanish,montaɲa; loma; cerro,,,,,,,,,
Spanish-MOUNTAINORHILL-3,ids-176-1-220-3,Spanish,MOUNTAINORHILL,cerro,cerro,s ɛ r o,,IDS;Miller2023,,,^cerro$,Spanish,montaɲa; loma; cerro,,,,,,,,,
Spanish-PRECIPICE-1,ids-176-1-222-1,Spanish,PRECIPICE,acantilado,acantilado,a k a n t i l a ð o,,IDS;Miller2023,,,^acantilado$,Spanish,acantilado; barranca,,,,,,,,,
Spanish-PRECIPICE-2,ids-176-1-222-2,Spanish,PRECIPICE,barranca,barranca,b a r a n k a,,IDS;Miller2023,,,^barranca$,Spanish,acantilado; barranca,,,,,,,,,
Spanish-PLAIN-1,ids-176-1-230-1,Spanish,PLAIN,pampa,pampa,p a m p a,,IDS;Miller2023,,,^pampa$,Spanish,pampa; llanura; campo,,,,,,,,,
Spanish-PLAIN-2,ids-176-1-230-2,Spanish,PLAIN,llanura,llanura,ɟ ʝ a n u ɾ a,,IDS;Miller2023,,,^llanura$,Spanish,pampa; llanura; campo,,,,,,,,,
Spanish-PLAIN-3,ids-176-1-230-3,Spanish,PLAIN,campo,campo,k a m p o,,IDS;Miller2023,,,^campo$,Spanish,pampa; llanura; campo,,,,,,,,,
Spanish-VALLEY-1,ids-176-1-240-1,Spanish,VALLEY,valle,valle,b a ʝ e,,IDS;Miller2023,,,^valle$,Spanish,valle,,,,,,,,,
