function	threshold	gop	tp	tn	fp	fn	precision	recall	F1 score	accuracy
NED	0.1		68	5818	2	1007	0.971	0.063	0.119	0.854
NED	0.2		129	5817	3	946	0.977	0.12	0.214	0.862
NED	0.3		275	5811	9	800	0.968	0.256	0.405	0.883
NED	0.4		385	5808	12	690	0.97	0.358	0.523	0.898
NED	0.5		503	5803	17	572	0.967	0.468	0.631	0.915
NED	0.6		654	5764	56	421	0.921	0.608	0.733	0.931
NED	0.7		768	5564	256	307	0.75	0.714	0.732	0.918
NED	0.8		856	5069	751	219	0.533	0.796	0.638	0.859
