function	threshold	gop	tp	tn	fp	fn	precision	recall	F1 score	accuracy
SCA	0.1	-1	379	7001	12	870	0.969	0.303	0.462	0.893
SCA	0.2	-1	581	6995	18	668	0.97	0.465	0.629	0.917
SCA	0.3	-1	739	6975	38	510	0.951	0.592	0.73	0.934
SCA	0.4	-1	852	6903	110	397	0.886	0.682	0.771	0.939
SCA	0.5	-1	936	6656	357	313	0.724	0.749	0.736	0.919
SCA	0.6	-1	1013	5989	1024	236	0.497	0.811	0.617	0.847
SCA	0.7	-1	1086	4557	2456	163	0.307	0.869	0.453	0.683
SCA	0.8	-1	1171	2436	4577	78	0.204	0.938	0.335	0.437
